TSNE_1,TSNE_2
11.209545,-1.477059
30.991964,14.230455
37.977993,22.701042
11.241906,-1.4961091
36.113434,-19.084097
11.166408,-1.4229261
21.29447,-2.4932628
23.1196,-18.373755
28.721474,-30.666542
27.932888,-20.184626
15.610112,-16.285583
22.411304,-16.23582
35.76202,-30.06576
15.77166,-15.90865
25.027061,-21.213058
15.651214,-16.621492
25.281431,-28.776852
29.064508,-30.70665
15.920215,-16.48632
21.67684,-28.04021
15.7451,-16.004246
16.609406,-23.435226
21.592707,-19.735645
15.91777,-22.545086
26.176434,26.655186
20.780237,22.975573
21.437796,-2.6886284
21.00686,33.405006
20.260628,15.569564
4.466763,15.453127
4.3496623,15.349714
20.861593,52.536694
-7.626755,32.549316
28.569063,46.615154
-2.0528326,29.241875
21.100134,37.915413
6.274763,70.20734
28.599133,46.79039
21.119686,37.94338
32.479073,43.58154
-7.5805407,32.55256
13.10622,49.798557
21.094353,37.87222
21.039625,33.591015
5.3658338,70.23336
3.925047,69.665375
3.3802104,70.22785
5.206985,70.29642
4.1710353,69.68083
6.068897,70.26987
3.9502273,68.869934
-9.119342,72.01476
5.087448,70.027435
4.0988526,69.58322
4.655993,69.91999
3.4900203,70.33421
2.7977824,69.32016
5.1453104,70.06735
4.925616,69.98475
26.027534,50.21967
3.2821116,69.85746
3.752281,69.06025
2.5837715,69.30262
3.156235,69.8897
3.708475,69.98534
3.493628,70.05923
3.3720303,70.25106
-15.475604,67.44858
-4.977611,48.079906
-3.7775161,43.97798
-5.035234,47.291943
-16.25535,35.376137
38.545765,22.985714
-14.708259,-6.3056493
-16.248539,36.160397
-17.176874,-4.3213305
41.46933,21.96566
41.99833,20.58359
39.46356,22.397007
39.341957,22.375462
41.04108,27.859867
41.39306,22.135788
42.07269,21.12124
41.530495,21.821402
39.745754,22.342663
39.26237,22.304535
41.63673,21.72777
-10.737534,-8.513873
42.056976,21.178785
-78.49169,45.585976
-79.5855,49.466496
-78.38829,45.793144
-79.20896,46.43371
-32.808693,-11.523809
-14.980909,-6.2514133
-32.89231,-10.872826
-32.920105,-12.017201
-33.601063,-12.127481
-63.44921,-12.091408
-32.940327,-10.6869335
-42.675186,-27.492151
-34.378883,-11.796531
-56.934322,-14.809568
-32.868637,-12.028095
-71.42418,-10.276247
-55.085625,-12.630778
-68.49154,-13.967477
-71.51824,-10.171729
11.544424,13.497348
27.133806,10.390445
12.725326,-1.1225387
12.748297,-1.1262933
31.275982,12.224139
7.501705,10.247298
30.585598,21.591587
12.801336,-1.5655806
30.580614,4.9626894
30.498745,4.8963733
-5.255923,-9.974305
9.717509,7.667694
6.6030536,5.5618186
22.762194,9.177493
24.16137,-12.3980465
35.963398,-13.567562
32.77985,-14.895216
6.6276226,5.378566
31.11391,-12.611764
29.264633,-11.953693
32.39102,-15.614902
-2.2666066,-12.035447
23.870016,-16.580519
23.451082,-19.826326
21.706184,-18.054585
24.171427,-16.840002
18.810226,-17.73151
35.7539,-24.587547
33.06264,-29.197174
28.36875,-22.153648
23.555765,-23.768187
15.600459,-22.23992
22.427761,-11.758549
32.67059,-26.373985
18.034145,-17.809088
17.96424,-18.206512
25.380877,-21.488604
28.44393,-24.252522
25.11412,-21.476717
24.083076,-23.700552
22.180437,-17.936176
22.001461,-19.646679
9.790187,-16.018787
20.788868,33.19352
22.192493,30.08714
20.925764,31.788836
19.04272,16.28593
20.855257,22.7596
20.779106,31.280424
20.163454,11.842182
26.111998,19.654083
30.95658,44.20509
30.214977,37.617935
21.973001,61.054825
13.733462,51.66737
31.359642,44.110527
26.03826,50.05952
12.042684,52.800434
16.80837,47.546757
30.90423,37.514458
26.711695,51.613995
25.557701,50.480213
16.861801,41.252045
30.848337,37.581684
26.016447,50.01961
13.923415,45.76928
19.657213,57.881493
20.743383,41.008057
28.612461,46.475937
20.637463,54.145382
22.190865,51.316975
21.986837,60.498524
-9.239501,72.030075
-15.878277,74.17316
29.172329,49.714382
26.736174,48.2926
5.2871675,70.62699
17.581263,49.31756
-9.272607,72.1209
3.6801152,74.34661
5.4034777,71.161865
3.6497314,74.20698
-20.96907,69.41655
22.356,60.304955
28.26704,51.906796
-1.572903,76.145325
1.8563472,70.009575
6.118216,71.97734
28.448875,45.71348
-6.3813386,78.49162
-5.818288,64.45772
9.235523,-15.169999
4.612862,72.24309
-16.186174,71.74315
-6.3923078,78.77874
-19.371944,69.24641
3.4482903,71.358055
3.7703533,73.45857
5.281981,70.804085
15.27495,62.776943
-4.6595445,76.35078
19.8748,57.409702
19.888952,57.26153
28.058535,51.20423
-20.519136,69.32885
-9.17951,72.11511
5.062454,71.52994
5.22408,70.88446
4.7729983,71.26736
-6.376895,77.37681
-22.148884,85.16481
1.2897016,73.349594
5.668304,74.24754
4.015767,73.44793
0.48869163,69.06833
-6.558935,78.61967
2.3855324,77.31536
26.211641,50.763103
2.6428149,71.902115
3.5831246,74.437485
28.391647,51.998928
17.65019,49.27942
-1.9562196,71.479
4.717928,71.24042
3.6502442,74.07481
-16.963282,70.70049
-19.075554,68.71542
3.8576484,73.61391
1.6171095,72.58834
3.1872275,71.36411
4.4590106,71.566864
36.082653,41.62992
23.513033,64.85291
-3.8663166,43.30923
-0.741416,48.430767
-4.9315734,47.211952
-7.6550703,44.85251
-0.38112336,47.77553
29.185844,-3.4033754
25.20348,45.043518
37.03113,42.54324
-13.7560005,-11.486553
32.01371,40.628494
36.093464,41.66118
42.89936,27.534018
-17.899456,35.288174
38.711525,23.780088
-16.770435,35.393227
-16.469524,35.95398
41.429317,22.435007
-10.593095,-8.543346
40.750885,25.814066
-20.89893,-6.422779
43.58296,20.229994
41.31151,28.328842
42.020546,21.16094
42.0962,21.452423
41.80766,21.553507
42.3801,24.562021
-16.35238,-7.5247464
-22.193937,-9.052824
-78.45484,45.629368
-4.21445,-10.755043
-76.952866,31.650293
-21.002665,-10.313664
-79.50404,42.868767
-77.10081,33.146214
-37.79918,-5.3305445
-57.006325,-16.243486
-34.95543,-10.209169
-33.972637,-12.559162
-34.532894,-17.730837
-33.671593,-12.805158
-51.616943,-1.332627
-34.896336,-16.163727
-33.195396,-12.936783
-42.96732,-6.407742
-34.316017,-12.648789
-37.93301,-8.63226
-56.291176,-8.077243
-56.542175,-18.146715
-42.72989,-27.38546
-33.66887,-12.866399
-37.837048,-11.671368
-21.820896,-10.340623
-67.15522,-16.539412
-90.589455,-24.984247
-72.21492,-16.92678
31.01083,8.3437
57.231403,8.190942
53.210228,0.68879557
51.78149,-3.3780684
28.730059,9.751143
59.864304,-8.588709
53.538345,2.7755494
59.020138,-7.7567225
53.506424,2.6269157
58.12104,-8.079954
30.079624,6.088229
31.11716,12.50994
28.64956,5.58078
26.440317,23.508665
30.414701,21.296413
30.199492,15.790386
28.699934,5.70565
31.959558,8.485226
31.388308,22.278297
29.53875,25.372524
32.694557,12.3255205
46.46564,13.832809
23.088535,11.401515
42.67976,24.299099
32.158516,6.9340615
32.262875,6.2521067
36.996773,23.527561
32.933975,24.668613
33.495094,2.6294599
29.55993,21.337948
30.486115,21.169989
30.164957,18.348446
30.222607,15.938705
31.764292,6.408635
38.170986,-15.133766
31.027697,11.338866
25.400373,8.618553
31.237192,21.409388
46.774166,13.659707
21.907478,-2.9404838
44.722984,15.3433895
30.017065,18.710997
37.8774,2.1021008
28.048758,18.073479
51.66984,2.1681378
51.638683,2.159278
29.685356,-22.16838
45.21401,12.194525
32.529938,-20.59361
29.580288,-16.662254
29.51604,-22.255754
39.058285,-24.369444
39.12574,-21.008074
37.94392,-19.252346
42.404785,3.7608697
37.64961,-21.811392
25.808483,-16.273836
31.91304,-21.453165
24.021992,-12.332822
-33.329483,-6.2716928
31.654688,-14.579906
34.940346,-28.037556
21.273804,-8.916886
29.422613,-15.000736
29.325235,-14.947175
31.469196,-10.986767
29.153923,-17.275948
22.471302,-11.280893
24.483067,-14.359473
38.20355,-21.963861
23.43964,-9.830338
29.872217,-21.326319
43.121643,5.750994
37.693493,-29.404501
28.952429,-20.77692
23.184513,-12.490432
30.835127,-19.868757
32.76,-12.040279
23.354006,-12.036997
26.127436,-13.762901
33.786663,-20.818436
21.497026,-9.25988
25.531847,-11.549227
24.596167,-14.035618
31.197453,-14.581981
36.015575,-31.247553
23.107824,-11.234066
32.17116,-9.208323
34.017746,-17.370918
32.413597,-12.523496
24.181898,-11.456915
34.16988,-22.235039
32.760742,4.3827376
21.625708,-9.867973
24.759268,-11.117546
24.177235,-12.856378
20.875471,-6.2458053
37.884335,-17.72618
29.314184,-13.498739
3.8798559,17.68229
37.776768,-17.723576
37.375,-16.35408
33.97668,-20.283909
32.03932,-20.472794
34.71731,-31.256657
27.471212,-10.62766
22.938654,-4.4998784
32.239063,-13.973379
34.841698,-14.367082
29.672943,-15.681439
22.000412,-10.8036995
26.838913,-9.353774
24.420858,-13.626668
23.284466,-9.897335
22.652822,-11.422432
23.007236,-4.039472
36.636738,-18.629797
33.382034,-16.486464
-10.922292,24.88422
37.32767,-20.455294
