TSNE_1,TSNE_2
60.43557,-20.200457
70.23287,-21.936155
-46.912304,45.444042
72.070206,34.026405
-42.07346,45.90816
29.725916,-77.39423
0.71841526,-71.530426
48.907887,52.310326
2.2004979,79.2313
56.76384,-19.253746
39.102295,20.676445
-27.239891,38.608784
-53.491856,42.18354
-45.01351,34.498745
63.4943,8.221033
-30.715162,-62.709316
-32.178925,-64.42755
-57.879932,-41.448807
71.81828,-11.037596
-23.68918,36.451904
56.417576,-21.84413
65.21269,-15.771032
-54.99532,20.254606
34.206825,6.944955
6.452356,-63.621204
-20.496716,-25.699818
-28.02321,-55.004513
-54.43187,36.4292
-27.679754,63.568184
-50.77057,17.677956
-45.771393,42.925266
-14.439341,32.71999
78.45515,28.605497
-52.280724,36.789814
72.67413,-11.40285
39.490643,-62.688683
-63.030243,-11.212109
-1.2053984,11.37708
56.62002,-1.6845852
49.43555,-59.7112
-62.536964,-41.19902
1.7484428,-74.06117
75.81046,-9.228675
25.901155,46.190903
50.136887,-16.06201
56.962765,14.256051
52.774708,53.762825
-67.345795,8.636183
-22.81988,27.412397
-35.321495,-38.26618
-57.46194,10.202275
70.68124,32.0846
-21.871685,24.952633
21.660126,3.9386013
42.32875,50.102398
-37.961864,-64.896645
-40.319195,65.24321
36.84337,-80.68868
73.44357,-14.809683
20.249527,80.7193
-74.43991,-6.556419
13.027776,-59.74649
-23.852114,-19.028236
-41.944386,-67.550804
72.60956,27.46861
2.9195054,27.011908
-3.1253624,-55.10094
-33.76202,62.76109
53.743786,-8.696821
-53.775543,-40.65029
36.169983,49.03849
-57.283417,-44.37702
0.14318298,2.3848784
-61.819874,-0.21683607
12.524614,11.052391
-31.025393,-7.8093586
72.19047,34.827045
53.378128,-7.177845
-47.67152,-12.689641
7.5422583,-51.1603
-40.008427,49.07453
36.34982,34.01676
14.139434,-37.557484
-31.63875,-1.9171546
-35.565975,56.950394
-70.31459,-14.062348
-66.912094,-9.441991
45.338593,58.529335
-41.209366,53.163525
-41.898727,59.26884
-49.860676,58.68362
41.803577,48.39138
-18.345253,-16.389397
-67.922295,-14.231393
-57.527195,23.38214
74.55023,-17.305397
-45.340847,16.759182
-44.274002,33.980473
56.309647,6.5205603
75.543945,29.97767
-28.622002,-62.21044
-27.470257,-34.018597
61.702995,-4.2171464
-68.57606,-13.300421
55.78372,-2.7917562
3.6110647,-70.18189
52.994324,52.675423
73.12745,35.016533
20.614014,-43.64909
-62.28571,-46.220566
-36.524075,-63.43718
-44.910027,20.366905
4.5294876,-55.267136
-38.554363,57.625595
-30.824629,-7.9054832
-37.944786,-16.590895
2.9770956,75.66115
3.4098606,2.3993995
-1.4877021,5.6072383
-14.856931,-27.758593
31.92217,59.000435
8.093822,-19.629688
58.948444,46.24224
3.994635,2.1664202
-30.427341,-3.9881372
11.57246,-20.52496
33.45952,45.423653
-4.145465,-49.349087
69.21037,-21.00511
-18.645145,-30.637827
-23.578001,-12.19683
67.68166,-6.103713
-74.80642,-8.061571
-25.560001,21.016146
-35.574642,13.353307
-3.287888,-65.82599
66.89975,-9.068524
-32.304573,-37.90878
-40.284626,34.61072
4.120069,-60.778015
43.125633,51.09148
