TSNE_1,TSNE_2
-39.71399,-57.387344
-28.194473,-73.030716
-34.993824,-70.32056
8.143696,-7.1943192
-27.813694,-66.46911
-27.769512,-60.895294
-26.837986,-70.36652
-24.38087,-69.56741
-29.747875,-73.53858
29.15286,-5.666139
-38.18022,-67.766174
27.962236,-60.295654
-25.63884,-69.34115
11.170733,-15.106339
-23.42384,-74.65206
8.212677,-7.8518796
26.868351,-5.175793
-29.612957,-51.748535
-38.171463,-61.214
7.315749,-9.481199
-32.802193,-70.757996
-32.573387,-61.749847
-26.945557,-63.983376
-13.983302,50.434032
-27.859758,-72.28565
-23.747131,-74.551605
7.6345577,-10.781615
-21.937212,-73.36873
-36.72999,-66.63754
-23.733898,-67.97479
-38.148037,-65.28624
-23.878593,-67.34505
-40.26689,-56.714424
35.72998,-6.8932953
-41.392696,-58.64255
-29.990788,-53.19224
27.88192,-60.19783
-31.671116,-69.329956
-29.662004,-58.92856
12.767398,27.317324
-44.014473,-60.987934
-32.5206,-70.397675
14.994076,-21.397337
-34.224514,-63.144806
-37.097485,-67.778755
27.818983,-60.184673
-32.16647,-60.385418
44.0432,-55.66896
-27.647238,-60.00457
8.542878,-7.4637585
-38.335014,-62.132298
-27.40988,-73.0493
-32.721313,-60.592995
18.553204,12.822614
-42.007935,74.80701
-29.094204,-69.4993
-24.018888,-70.29638
-42.78041,-60.915207
5.410391,-8.562673
12.837422,27.257587
-23.782625,-67.27087
-37.129917,-66.68177
-35.45606,-64.68556
-42.135303,-62.761982
19.297895,16.90943
-33.795372,-58.637165
-32.150837,-69.159386
17.003063,13.325532
-22.02687,-76.18243
-31.056137,-61.738136
-5.5099535,38.60204
-54.997414,-49.58835
-34.775925,-69.64905
17.949001,10.82522
-37.304768,-68.957115
-37.463093,-63.98548
-37.187622,-61.677773
-39.537716,-63.245735
-40.46944,-61.591156
11.417179,26.649416
-35.22392,-58.047318
-38.166943,-60.04099
-6.323605,42.64153
-27.116083,-74.220985
-37.225796,-66.491486
-31.720024,-68.12143
-33.49882,-71.243164
-20.38864,-75.05157
-28.262747,-59.23632
14.851901,36.703285
-36.893444,-64.219536
-28.070862,-60.756042
-35.83146,-67.61157
-35.229473,-57.303024
-40.955776,-64.26498
-53.509407,-50.905178
-31.704,-68.03223
7.6550584,-9.973367
17.691135,-50.43623
-41.120407,-61.90212
-30.075554,-62.744587
11.649261,24.48176
11.55381,27.028946
-25.421225,-67.62321
-33.215443,-71.07252
21.921186,79.07015
-35.76825,-66.84837
-30.254288,-53.02497
-25.934515,-71.68838
-32.76456,-72.66949
-31.962782,-57.996223
-23.474628,-67.92357
23.746073,15.054401
-5.890517,42.277172
40.506767,-44.912594
-25.12235,-70.80858
-31.466099,-52.314335
-22.57518,-70.81282
12.10708,23.902493
-34.359035,-67.666214
-27.641325,-60.23291
-23.132814,-73.367874
-32.24507,-61.487007
-43.076736,-58.874603
-37.678253,-62.19033
10.634958,26.466587
28.33968,-54.825768
-28.979742,-67.43855
21.368143,-53.68758
-30.208534,-59.294712
-29.854746,-59.298866
-27.67672,-60.790386
-35.76199,-66.41936
-43.611553,-61.17171
-22.631851,-68.10434
-30.155575,-59.313816
-24.180174,-72.35363
-26.076857,-68.98463
-37.289948,-64.122734
24.042053,-2.4450636
12.601233,24.438532
-41.47012,-60.73918
-38.47257,-58.312653
26.144098,-6.6871376
-3.6415346,60.551258
7.4911747,-10.46892
-33.75227,-63.275818
11.3128195,28.530317
-25.769539,-69.15375
7.1684594,-7.842849
-34.32181,-52.37053
7.9467707,-9.311922
16.613474,-16.635387
-38.321583,-60.10848
-31.642395,-51.932358
-22.080685,-75.26306
-40.5972,-64.6724
-23.274601,-68.43287
-39.7224,-71.46539
-26.645834,-60.710545
34.899216,35.535313
14.033881,-21.845963
-26.042309,-64.19244
-38.94996,-58.343407
21.881878,8.085824
-26.865566,-73.02264
-25.800825,-69.4934
93.43077,-37.145573
28.952742,-5.2578835
-25.984756,-71.58136
-29.516123,-51.541843
-27.356277,-73.714966
-34.60753,-59.770634
28.027912,74.920425
-15.404691,36.919727
-29.67321,-59.698845
13.761843,-22.15907
-29.669428,-51.73036
-39.880405,-67.605545
10.535173,27.043278
-21.5648,-77.405045
-33.883575,-69.236694
-25.228212,-70.95692
-32.091217,-69.45405
-31.884918,-69.81201
-42.928413,-58.871456
-27.716444,-60.627094
-34.651733,-59.794823
-28.626326,-60.584076
-42.372303,-59.84895
-39.0144,-58.348007
-26.998539,-60.54644
-29.39362,-51.9696
-15.913802,25.555805
-31.820635,-63.14529
24.739939,18.674324
-14.00714,24.998209
-29.476198,-71.81264
17.290285,-18.47346
-25.866814,-59.74159
5.5050044,15.898623
-39.11813,-64.58215
-41.258396,-64.21818
-42.89447,-58.66143
-33.982082,-62.05538
-33.49031,-72.4597
-35.146973,-63.04049
-34.44695,-65.85424
-27.517889,-73.14663
-22.26208,-74.205925
-25.945484,-69.582794
29.882093,-3.5338788
-35.9766,-67.58401
-29.286077,-58.420162
-23.449442,-67.562386
-29.465609,-63.782223
-28.658106,-64.741005
-30.283022,-62.496
-24.377258,-72.31074
-26.7449,-68.48039
-38.99254,-61.78533
-33.028057,-60.199173
6.3743167,-41.324894
35.452232,35.46076
-29.64376,-51.6496
-36.88924,-63.616253
8.686547,11.254499
-34.21199,-57.563564
2.3032398,19.760315
-33.659317,-70.63001
-41.672726,-58.59302
-21.443487,-76.61176
-21.548841,-77.484436
34.55292,36.315674
-29.692202,-59.11245
-40.84224,-60.932903
26.663279,-3.1045763
-30.450466,-52.99223
-41.314747,-58.833965
-30.01279,-71.3559
-29.998905,-64.605446
89.121475,-41.181114
-26.991865,-65.27681
2.0857873,20.111853
25.66541,3.475626
-35.433292,-57.32201
-38.133926,-62.433064
-28.111698,-60.736984
-26.990623,-60.474472
-53.14436,-48.781616
-29.763958,-58.58072
-26.76112,-63.319157
-29.899141,-64.283295
-42.630608,-59.932972
-28.17224,-65.79535
-31.444517,-64.3797
-41.774643,-59.24606
-33.81436,-72.52226
-37.816803,-62.378605
-42.31008,-44.04304
-30.00285,-65.090706
24.925415,4.272466
-38.898296,-62.21214
-0.31290188,28.396875
27.179253,-4.000891
2.0229495,53.41368
-41.50243,-64.020515
28.393423,-57.821545
30.03087,-3.52459
-39.812737,-61.000698
-31.921892,-70.00696
28.621708,-2.3525798
-22.032797,-76.276535
-53.82465,-49.96112
-33.720753,-69.28067
-29.768278,-69.11859
27.866652,-60.209232
-33.778873,-57.79999
-31.624117,-51.92492
14.949422,-21.245937
5.6730065,27.60799
-36.68503,-58.64759
-24.073883,-70.29245
-26.19801,-69.32222
23.840733,-1.7761307
-26.669092,-61.66611
-29.707352,-51.67788
-42.92826,-58.53478
-37.326756,-68.165016
-32.689453,-70.30555
-26.494688,-70.34693
-27.287794,-61.019844
-40.584698,-61.29801
-31.249632,-57.808502
-24.026827,-71.94316
-32.49621,-61.626663
-42.286266,-63.0229
-31.807142,-57.98792
-24.029463,-70.17523
-32.197628,-70.32239
-20.687538,-72.9368
-28.508537,-64.81305
-29.563393,-69.27305
17.453663,-19.81703
-6.8494554,20.416126
19.077648,16.897608
49.498623,-50.432407
44.857307,-54.893623
-21.557167,-77.63609
-24.006945,-70.32829
-39.29076,-64.71011
-38.039284,-61.399105
-40.410538,-56.69312
-38.054398,-68.07713
-37.766872,-67.314095
-42.530933,-59.906467
2.8462017,19.073301
-29.971401,-71.24193
-34.299656,-67.754295
-32.220657,-69.99292
41.79087,-57.098175
-27.987888,-65.693214
